id	filename	md5	size	state
0040f4e2-ddd5-451d-a64e-82be79119b24	0040f4e2-ddd5-451d-a64e-82be79119b24/unc.edu.5d4f26fa-7291-4c6c-b79e-a376307122ac.2690320.rsem.genes.normalized_results	94978c3668aeae5de4a3cc3066728724	436967	validated
02650588-ad98-4a9d-b553-aafb56270dcd	02650588-ad98-4a9d-b553-aafb56270dcd/unc.edu.61295c91-aa67-4a4d-b1a3-17d91cf60896.2711030.rsem.genes.normalized_results	9afb183f55f638fe1c091e84853bb93e	437323	validated
04d7f973-a29f-45d7-a9d4-562833e46ba4	04d7f973-a29f-45d7-a9d4-562833e46ba4/unc.edu.82a70da7-f6ec-4f02-81ef-a4bdadf258fd.2686691.rsem.genes.normalized_results	d018ea6271e5c9296a7d37fef042a831	435430	validated
05354421-7aae-46cd-82b7-6148593e6dd7	05354421-7aae-46cd-82b7-6148593e6dd7/unc.edu.80cf7dd0-91a5-484d-9592-12873910f0f1.2686846.rsem.genes.normalized_results	817f119fa0cc5c9177b9cbcb17d36401	434690	validated
055d857e-1702-4e8a-8680-487dc2f4ac4f	055d857e-1702-4e8a-8680-487dc2f4ac4f/unc.edu.a28b68cf-fb20-46dd-bf2d-475754036485.2721488.rsem.genes.normalized_results	635ad63a249d87de0f04550c0cee59fb	436858	validated
05e36840-e794-4160-afbd-743ef6bb3a5a	05e36840-e794-4160-afbd-743ef6bb3a5a/unc.edu.658225d0-77cd-4f11-9da4-d9011167d850.2710633.rsem.genes.normalized_results	1ccbf1345449a7297ec04e7beefe0160	435719	validated
06193e1a-bb49-40df-9a0a-7724920c5cc9	06193e1a-bb49-40df-9a0a-7724920c5cc9/unc.edu.be12a5a1-933e-4d0a-86e5-050466cc2f9e.2678967.rsem.genes.normalized_results	860fa4ea69afe1b008b0340fea312739	437407	validated
061af2b7-921e-4f95-aac6-233522c5c938	061af2b7-921e-4f95-aac6-233522c5c938/unc.edu.b66f73e6-f4fa-404c-89f8-1958e753d40f.2679870.rsem.genes.normalized_results	0e82eeabb05cf6e1e28c6d28bfe90524	435752	validated
064a0c39-c80b-4d91-9758-252b72a0df2f	064a0c39-c80b-4d91-9758-252b72a0df2f/unc.edu.762812df-03a7-4e9b-aefc-26cf355c87de.2688587.rsem.genes.normalized_results	29b449fd6998f0a95c730d11442a79ae	435682	validated
06a61b11-534a-491b-9ae0-e1622727a110	06a61b11-534a-491b-9ae0-e1622727a110/unc.edu.e090f23b-a79d-48ee-84ff-f19ee3bf7472.2706004.rsem.genes.normalized_results	01805eae1992636fa5ab9d0de0a4a24f	434921	validated
072a21ad-1255-499d-b30f-d6adb7cacae1	072a21ad-1255-499d-b30f-d6adb7cacae1/unc.edu.ac41a416-0261-432e-a58a-4c517585e985.2682265.rsem.genes.normalized_results	c31e84785a06d36830d060a572d33b73	434732	validated
072f2386-acbc-4e97-8b92-19bc5b9e121e	072f2386-acbc-4e97-8b92-19bc5b9e121e/unc.edu.fd887a44-2abe-477e-bb44-e6e1873f1171.2676548.rsem.genes.normalized_results	50219cf9cce90d262affa1a39447c4d1	434388	validated
075a2035-4d7e-425f-bac1-568b9668ff33	075a2035-4d7e-425f-bac1-568b9668ff33/unc.edu.1d8371c5-c8d1-481c-85d2-dc32b5541246.2716491.rsem.genes.normalized_results	b40793a2c2094eadf60ca40534776596	436190	validated
077218a5-b934-4274-94b5-ed055f561a31	077218a5-b934-4274-94b5-ed055f561a31/unc.edu.70d42c42-4a50-4b43-a988-d39635a4d600.2710587.rsem.genes.normalized_results	2065fa5bd96caad3778c93b94eca0084	435946	validated
0782da00-6f43-4e6d-92a0-7fe1ed5fbc89	0782da00-6f43-4e6d-92a0-7fe1ed5fbc89/unc.edu.a875c423-8482-44a1-b844-de24140422d6.2705874.rsem.genes.normalized_results	5bae6f3c8fc9ff9532b04e45d9796d06	433773	validated
078877b9-3a6c-403f-a216-6a3424b6054f	078877b9-3a6c-403f-a216-6a3424b6054f/unc.edu.567e04ec-ec79-48b5-adab-a9eafd8e6bc1.2692094.rsem.genes.normalized_results	8e9a9fe7741b39f1460eda5c93c2c9e8	435550	validated
09100586-1bc5-4e17-b17c-77eff3757596	09100586-1bc5-4e17-b17c-77eff3757596/unc.edu.c9921cb4-549e-488d-81f9-c280b80b9c75.2705954.rsem.genes.normalized_results	148bac882902f2ec79eec8cafe8a15b9	435623	validated
0923d5f3-115c-4a8f-aef1-5855d496d37a	0923d5f3-115c-4a8f-aef1-5855d496d37a/unc.edu.ffa0dfbd-83fa-4e47-b448-a7d922ca4e4a.2706148.rsem.genes.normalized_results	e1408150fd634a32db6e8eb2f3fbb81a	435483	validated
096df789-0e87-4088-ac39-e32202e3f142	096df789-0e87-4088-ac39-e32202e3f142/unc.edu.45374ae4-974c-4637-a6dd-0b8041330024.2715255.rsem.genes.normalized_results	99784f207b738c93e1d4cfe49c21b8fc	435650	validated
09fb09ed-73ce-42f2-ba50-71b91433999b	09fb09ed-73ce-42f2-ba50-71b91433999b/unc.edu.2a1fb3d4-6105-4eac-8d16-9a1091a0b938.2695297.rsem.genes.normalized_results	8580bb20c57e4e508c3b211ba4bf6538	435255	validated
0a67e18f-bd25-4ba9-a643-6aab814408d6	0a67e18f-bd25-4ba9-a643-6aab814408d6/unc.edu.690c5eb5-c5c0-434e-a229-11785474e112.2688339.rsem.genes.normalized_results	ae7ec218f4ffe5c97eadfce63a808726	434836	validated
0ab6f4ca-988e-4902-9f1f-7ffa657b1e3c	0ab6f4ca-988e-4902-9f1f-7ffa657b1e3c/unc.edu.b7761a24-f5bb-4a76-8b27-0b20038f029a.2685038.rsem.genes.normalized_results	680e85434d9d8153921114520d731718	436565	validated
0db80603-8f49-4161-bc40-72e4a50824fb	0db80603-8f49-4161-bc40-72e4a50824fb/unc.edu.149e8ec6-86f6-4464-9048-13e2d2465a3b.2697137.rsem.genes.normalized_results	851ac6ab477171e760bcf30e2fe62bb0	434801	validated
0e029b0c-ea2d-407a-a919-ce4c6a06b051	0e029b0c-ea2d-407a-a919-ce4c6a06b051/unc.edu.21db6663-def9-49c6-9184-4479aad5d6f1.2696676.rsem.genes.normalized_results	fda678b9527045d79918f4efeb3dfd28	436552	validated
0e306b00-210f-4065-938c-17b19c574ff3	0e306b00-210f-4065-938c-17b19c574ff3/unc.edu.88db7cea-8c74-445d-bbc9-f83a3d1c2136.2711446.rsem.genes.normalized_results	e403f6bc47d43da0da1a2c16f7a86655	435387	validated
0e3aa99a-f76b-4824-9fe6-aef95553896e	0e3aa99a-f76b-4824-9fe6-aef95553896e/unc.edu.f4b00f16-43de-4703-8d7c-4d7e9fca0920.2679034.rsem.genes.normalized_results	2e8f50a23600178437269808897beee9	433013	validated
0f506266-2d96-4385-9514-503730a2354a	0f506266-2d96-4385-9514-503730a2354a/unc.edu.316ebfc2-44ff-4b64-a3d9-b3eaa3043da9.2696874.rsem.genes.normalized_results	ba6a48f1dbd0e1e38aff015cea8bb8a1	436239	validated
0f8b4202-f4f2-4813-92a5-97ba4bef08a1	0f8b4202-f4f2-4813-92a5-97ba4bef08a1/unc.edu.1fa57e06-bcb0-4c35-b6f0-1aae4a937235.2721011.rsem.genes.normalized_results	130446acbc4454b48a75c3918c1ec722	435266	validated
0fa2a3c8-8787-47ad-8b28-511da6316987	0fa2a3c8-8787-47ad-8b28-511da6316987/unc.edu.54e274a2-e7a8-450e-be40-4b1d246b09e0.2716881.rsem.genes.normalized_results	96dc38edf50b7dd5ae4cd9ee01a40c99	437102	validated
0fc8f84d-18ce-464d-b892-a19e08d53837	0fc8f84d-18ce-464d-b892-a19e08d53837/unc.edu.791df752-d6c6-47b8-9113-e71fca9a04fe.2687563.rsem.genes.normalized_results	0fb09dee7ef62309af7c5aae561b75d2	437054	validated
0fe73124-3263-4d7f-a8c7-6aa605987344	0fe73124-3263-4d7f-a8c7-6aa605987344/unc.edu.439b3b31-fb3d-4373-a39b-384e30039217.2693547.rsem.genes.normalized_results	c7271b7d5cce2faffddb0f688f369d61	437179	validated
